Pose/Time (ns),Pose 1: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Pose 2: PersScore 0.277 PoseScore 2.633 DockingScore -14.718
0.415,0.652675954,0.79861311
0.416,0.6538019,0.799350587
0.417,0.654035848,0.800176672
0.418,0.65385248,0.80099479
0.419,0.653831161,0.801692395
0.42,0.653830183,0.802488375
0.421,0.654005943,0.803270931
0.422,0.653914208,0.803606589
0.423,0.654247682,0.803804146
0.424,0.654450899,0.804280112
0.425,0.654510504,0.804738257
0.426,0.654498994,0.805102295
0.427,0.654603117,0.805222123
0.428,0.655032408,0.805970482
0.429,0.65532294,0.806678696
0.43,0.65572845,0.806962214
0.431,0.656004133,0.807449386
0.432,0.656216084,0.808118111
0.433,0.656560238,0.808483492
0.434,0.656798641,0.809051406
0.435,0.65708585,0.809506205
0.436,0.657135538,0.810108691
0.437,0.657173151,0.81023424
0.438,0.657310003,0.810755938
0.439,0.657470404,0.811208869
0.44,0.657513281,0.81150896
0.441,0.657685242,0.812155542
0.442,0.657567184,0.812518089
0.443,0.657837152,0.813041976
0.444,0.657716619,0.813226803
0.445,0.657991367,0.813562963
0.446,0.658379233,0.813785924
0.447,0.658736432,0.814078724
0.448,0.659052329,0.814379762
0.449,0.659601501,0.814428617
0.45,0.65993529,0.814547149
0.451,0.660023532,0.815465938
0.452,0.660147615,0.815656672
0.453,0.660431813,0.816120716
0.454,0.660718114,0.816714538
0.455,0.6610115,0.817007248
0.456,0.661310712,0.817412214
0.457,0.661381159,0.817794766
0.458,0.661738608,0.81825407
0.459,0.661823384,0.819051569
0.46,0.661912439,0.819286976
0.461,0.662145322,0.819577858
0.462,0.662504652,0.819726743
0.463,0.662671711,0.819894745
0.464,0.663005756,0.820139343
0.465,0.663296053,0.820236012
0.466,0.663579874,0.820898105
0.467,0.663620846,0.821436627
0.468,0.663569006,0.821664382
0.469,0.663592311,0.821984014
0.47,0.663733843,0.822334636
0.471,0.66362579,0.822809823
0.472,0.663534974,0.823257908
0.473,0.663735122,0.82339264
0.474,0.663831701,0.823625147
0.475,0.663929426,0.824106193
0.476,0.663860112,0.824692383
0.477,0.664023427,0.825081567
0.478,0.66427762,0.825450876
0.479,0.6642138,0.825809803
0.48,0.664483308,0.826254274
0.481,0.664478285,0.826089401
0.482,0.664164321,0.826312221
0.483,0.663908924,0.82639112
0.484,0.66403149,0.826406071
0.485,0.664129086,0.827969619
0.486,0.664115709,0.828354981
0.487,0.664226383,0.828965127
0.488,0.664350231,0.829059305
0.489,0.664467869,0.82919304
0.49,0.664704749,0.829271822
0.491,0.664871224,0.829509023
0.492,0.664804963,0.829829477
0.493,0.664723867,0.829722758
0.494,0.664610017,0.830212635
0.495,0.664792204,0.830425169
0.496,0.664730078,0.830679741
0.497,0.664258177,0.830995481
0.498,0.66437769,0.831542114
0.499,0.664240323,0.831902795
0.5,0.664184132,0.832468791
0.501,0.663830767,0.832917954
0.502,0.663430104,0.83380702
0.503,0.663349064,0.834311221
0.504,0.663191797,0.83457992
0.505,0.662855242,0.834890044
0.506,0.662658579,0.835182249
0.507,0.662442938,0.835593779
0.508,0.662234283,0.835753806
0.509,0.662075274,0.835925457
0.51,0.661838564,0.836308824
0.511,0.661741133,0.836641596
0.512,0.661887319,0.83691068
0.513,0.661957507,0.837525479
0.514,0.661788435,0.837950021
0.515,0.661690753,0.838430668
0.516,0.661387405,0.838653498
0.517,0.661153102,0.839019423
0.518,0.661445903,0.839437654
0.519,0.661444215,0.839607884
0.52,0.661485898,0.839770713
0.521,0.66135772,0.83988098
0.522,0.661379767,0.839967818
0.523,0.661378016,0.840186854
0.524,0.661161067,0.840329538
0.525,0.661164707,0.841521733
0.526,0.661364749,0.841994007
0.527,0.661264381,0.842487445
0.528,0.661349578,0.843146189
0.529,0.661647291,0.843612093
0.53,0.661647677,0.843872629
0.531,0.661306855,0.844359357
0.532,0.661336782,0.844704227
0.533,0.661285945,0.845403887
0.534,0.661275709,0.846049736
0.535,0.66109391,0.846809953
0.536,0.661170479,0.847062794
0.537,0.66084853,0.847137026
0.538,0.6604308,0.847676268
0.539,0.660562978,0.847793262
0.54,0.660146744,0.848182189
0.541,0.660034294,0.849278809
0.542,0.65964765,0.849866445
0.543,0.659385966,0.850046423
0.544,0.659262915,0.850461873
0.545,0.659142449,0.850772848
0.546,0.658731791,0.85132365
0.547,0.658347235,0.851892507
0.548,0.658142403,0.852094844
0.549,0.657952552,0.852600311
0.55,0.657910976,0.85387429
0.551,0.657745676,0.854137026
0.552,0.657477467,0.85455266
0.553,0.657505514,0.8551987
0.554,0.657365352,0.855757271
0.555,0.657143268,0.856032047
0.556,0.657267106,0.856542821
0.557,0.657092387,0.85686064
0.558,0.656910669,0.858987667
0.559,0.656665801,0.859374575
0.56,0.65664981,0.859771275
0.561,0.65692655,0.859945432
0.562,0.657089261,0.86311437
0.563,0.656992088,0.863636893
0.564,0.656840812,0.864140546
0.565,0.656469675,0.864313297
0.566,0.656481737,0.864854017
0.567,0.656558245,0.865467572
0.568,0.656603173,0.866245574
0.569,0.656608961,0.867126727
0.57,0.656376518,0.867578212
0.571,0.656222584,0.868892125
0.572,0.656177592,0.869586665
0.573,0.656659824,0.8702321
0.574,0.656706295,0.870867298
0.575,0.656643417,0.871383897
0.576,0.656441559,0.873046433
0.577,0.656531356,0.873627281
0.578,0.656544225,0.874349532
0.579,0.65658334,0.874967441
0.58,0.65667941,0.875473791
0.581,0.656625612,0.875978587
0.582,0.656504642,0.876722008
0.583,0.65633331,0.877085944
0.584,0.656323436,0.877300658
0.585,0.656873025,0.878019198
0.586,0.656734546,0.878708263
0.587,0.656630724,0.879424113
0.588,0.656661437,0.880150008
0.589,0.656802502,0.8807234
0.59,0.656693352,0.881411631
0.591,0.656735224,0.88206844
0.592,0.656954129,0.882547344
0.593,0.657323925,0.883030551
0.594,0.65754431,0.883526633
0.595,0.65777592,0.884212045
0.596,0.657942661,0.88491105
0.597,0.658124452,0.885500841
0.598,0.658300091,0.88620057
0.599,0.6584956,0.886823
0.6,0.658577785,0.887829133
0.601,0.6588724,0.88845557
0.602,0.658992849,0.889310371
0.603,0.659345258,0.88994496
0.604,0.659577336,0.890659265
0.605,0.659860364,0.891244491
0.606,0.660070578,0.891869581
0.607,0.660325886,0.892173856
0.608,0.660510459,0.893154359
0.609,0.660753234,0.893824691
0.61,0.660941488,0.894556934
0.611,0.661152715,0.895269281
0.612,0.661367732,0.896169051
0.613,0.661459667,0.896440225
0.614,0.661651603,0.896751158
0.615,0.662012957,0.897177092
0.616,0.662241688,0.897677969
0.617,0.662496863,0.898074288
0.618,0.66271693,0.898615353
0.619,0.662777553,0.899241951
0.62,0.663137072,0.900055385
0.621,0.663386953,0.900363428
0.622,0.663607124,0.901086517
0.623,0.663637064,0.90152774
0.624,0.663439929,0.902192098
0.625,0.663406448,0.90274291
0.626,0.663420588,0.904288557
0.627,0.663407447,0.904923625
0.628,0.663483897,0.905750587
0.629,0.663547156,0.906602113
0.63,0.663790807,0.906902836
0.631,0.663746038,0.90745019
0.632,0.663845419,0.908094184
0.633,0.664091481,0.911020088
0.634,0.664145778,0.911603245
0.635,0.664064448,0.91206298
0.636,0.664209017,0.912561306
0.637,0.664475961,0.91321235
0.638,0.664391901,0.913878225
0.639,0.664365473,0.91434556
0.64,0.664411914,0.914885351
0.641,0.664314233,0.915355272
0.642,0.664421568,0.915976687
0.643,0.66447061,0.916488403
0.644,0.664306073,0.917113408
0.645,0.664198915,0.917972869
0.646,0.66432681,0.918705488
0.647,0.664611855,0.91909988
0.648,0.664875437,0.919675064
0.649,0.665109637,0.920186974
0.65,0.665132755,0.920753062
0.651,0.665363063,0.921204242
0.652,0.665469741,0.921680017
0.653,0.665431896,0.921935792
0.654,0.665541082,0.922892383
0.655,0.665571735,0.923369423
0.656,0.66571667,0.923804014
0.657,0.665956534,0.924217989
0.658,0.665760225,0.924936805
0.659,0.665812238,0.925488316
0.66,0.666226449,0.925644829
0.661,0.666380538,0.925891213
0.662,0.66624529,0.927715263
0.663,0.666379017,0.929276949
0.664,0.666369492,0.929416472
0.665,0.666500387,0.929549826
0.666,0.666502564,0.929888416
0.667,0.666934092,0.930162811
0.668,0.667274638,0.930525631
0.669,0.667136635,0.930824364
0.67,0.667176264,0.931384193
0.671,0.667341272,0.931971368
0.672,0.667375209,0.932630689
0.673,0.667391806,0.933028204
0.674,0.66725475,0.93375001
0.675,0.667214527,0.93423565
0.676,0.667422229,0.934416568
0.677,0.667202749,0.934708828
0.678,0.667365732,0.935347141
0.679,0.667433912,0.935604239
0.68,0.667613758,0.935971652
0.681,0.667746546,0.936286262
0.682,0.667627173,0.936657399
0.683,0.667276693,0.937036145
0.684,0.667171125,0.937359997
0.685,0.667095849,0.937563576
0.686,0.66680667,0.937697013
0.687,0.666537323,0.938052837
0.688,0.66605312,0.938491274
0.689,0.665818709,0.93889337
0.69,0.665471074,0.93920749
0.691,0.665352333,0.939617335
0.692,0.665272694,0.939947025
0.693,0.66520088,0.940306351
0.694,0.664981734,0.940587882
