Pose/Time (ns),Z100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,Z3932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397
0.322,1.221708748,0.640636304,0.895277697
0.323,1.222137287,0.640957462,0.89556536
0.324,1.222581866,0.641221809,0.895937771
0.325,1.22329213,0.641220379,0.896284455
0.326,1.223915131,0.641469182,0.896577839
0.327,1.225170489,0.641628824,0.896921821
0.328,1.225593873,0.641809874,0.897262823
0.329,1.226252259,0.642207634,0.897654369
0.33,1.226588583,0.642630208,0.898131598
0.331,1.226728408,0.64292121,0.898600116
0.332,1.227181826,0.643199122,0.899188831
0.333,1.2276348,0.643746859,0.89962479
0.334,1.227646238,0.64430745,0.900066621
0.335,1.228537414,0.64446538,0.900402917
0.336,1.228709569,0.64458482,0.900755821
0.337,1.229032719,0.64460876,0.901351703
0.338,1.229642275,0.644739939,0.901955899
0.339,1.230139654,0.645146914,0.902490968
0.34,1.230732888,0.645628639,0.902832698
0.341,1.231818974,0.645908422,0.903342023
0.342,1.233084063,0.648998909,0.905956679
0.343,1.234716273,0.649507749,0.906380623
0.344,1.236210509,0.64973239,0.909229252
0.345,1.23671761,0.649935018,0.909627966
0.346,1.237185125,0.650183451,0.911883868
0.347,1.241163429,0.65071288,0.912171723
0.348,1.245122409,0.651213013,0.915323291
0.349,1.245886101,0.651303471,0.915559312
0.35,1.246351074,0.651664113,0.915860147
0.351,1.247611181,0.653083791,0.916161184
0.352,1.248425574,0.653123038,0.918138215
0.353,1.24877969,0.653505356,0.918420113
0.354,1.249496948,0.653869327,0.919116673
0.355,1.25026862,0.654151491,0.919886589
0.356,1.250634983,0.654344937,0.920763371
0.357,1.251129694,0.654572527,0.924197237
0.358,1.252007467,0.654785078,0.924792911
0.359,1.252392957,0.65515448,0.926325186
0.36,1.252765114,0.655477468,0.926793375
0.361,1.252918553,0.65591686,0.927322038
0.362,1.253064719,0.656236298,0.928013945
0.363,1.253535611,0.656637628,0.92868236
0.364,1.254145712,0.656947236,0.92905366
0.365,1.254832455,0.657004039,0.931541911
0.366,1.255738318,0.657179255,0.931897352
0.367,1.25667518,0.657442349,0.932260995
0.368,1.257414712,0.657405454,0.932657011
0.369,1.257911005,0.657397965,0.934058705
0.37,1.258360922,0.65751393,0.93894487
0.371,1.259197379,0.65790422,0.939587254
0.372,1.259469974,0.65813888,0.940121535
0.373,1.26027904,0.658220025,0.940692481
0.374,1.260737921,0.659948475,0.940949905
0.375,1.266441429,0.6599213,0.941330826
0.376,1.267036257,0.659785097,0.941823825
0.377,1.267830919,0.659526558,0.942095327
0.378,1.268677364,0.659138758,0.942435811
0.379,1.269233239,0.65887083,0.942951511
0.38,1.269956048,0.658705804,0.943543533
