Pose/Time (ns),Pose 1: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,Pose  2: PersScore 0.291 PoseScore 3.460 DockingScore -12.701
0.75,1.101318824,1.699151797
0.751,1.101650547,1.700340872
0.752,1.101819391,1.701118298
0.753,1.101754912,1.701953142
0.754,1.102029996,1.702904841
0.755,1.102451183,1.704688419
0.756,1.103077335,1.70581162
0.757,1.103373784,1.706535185
0.758,1.103954286,1.707421064
0.759,1.104544283,1.708346935
0.76,1.105050815,1.709813186
0.761,1.105288019,1.711265225
0.762,1.105697548,1.712602585
0.763,1.10614392,1.713792188
0.764,1.10661178,1.714511342
0.765,1.107058094,1.715562416
0.766,1.107588565,1.716594389
0.767,1.107916031,1.717319521
0.768,1.108194041,1.718282121
0.769,1.108548126,1.721089914
0.77,1.109152976,1.72209027
0.771,1.109365057,1.722787559
0.772,1.110105421,1.723662907
0.773,1.110573939,1.724891851
0.774,1.110798621,1.725754869
0.775,1.110864585,1.726573591
0.776,1.111184449,1.727381004
0.777,1.111508621,1.728161455
0.778,1.11164024,1.72894353
0.779,1.111868733,1.73034942
0.78,1.112113801,1.731343981
0.781,1.112324233,1.73238029
0.782,1.112335374,1.733086631
0.783,1.112635957,1.734228671
0.784,1.113236398,1.735042633
0.785,1.113659667,1.735757581
0.786,1.113921787,1.736278459
0.787,1.114153101,1.737004838
0.788,1.114600197,1.737516239
0.789,1.115053971,1.738421027
0.79,1.115488384,1.739103574
0.791,1.115621769,1.740006989
0.792,1.115787971,1.741016072
0.793,1.116310866,1.741856923
0.794,1.116768242,1.743071624
0.795,1.117262709,1.743910291
0.796,1.117702343,1.744962075
0.797,1.118074047,1.745669067
0.798,1.118203886,1.749091389
0.799,1.118251851,1.749858001
0.8,1.118287116,1.751410104
0.801,1.118301843,1.752606427
0.802,1.118214993,1.753168433
0.803,1.118139119,1.754232473
0.804,1.117998632,1.755363358
0.805,1.118141231,1.756874507
0.806,1.118294397,1.757863616
0.807,1.119753039,1.758992686
0.808,1.120418124,1.759908103
0.809,1.120826544,1.762145769
0.81,1.121033416,1.762676927
0.811,1.121348766,1.763656959
0.812,1.121698016,1.764749445
0.813,1.122070152,1.765934439
0.814,1.122390546,1.767108033
0.815,1.122860374,1.777124654
0.816,1.123110998,1.780664495
0.817,1.123220787,1.784062874
0.818,1.12332593,1.784926605
0.819,1.123561177,1.786172817
0.82,1.123978554,1.787190751
0.821,1.124208429,1.793705739
0.822,1.124545575,1.794564834
0.823,1.125003639,1.795294558
0.824,1.125370516,1.796172401
0.825,1.125787578,1.79694595
0.826,1.126251479,1.797896428
0.827,1.126771906,1.798771437
0.828,1.127277487,1.799498653
0.829,1.127862931,1.804333251
0.83,1.128144524,1.81235944
0.831,1.128460557,1.812958431
0.832,1.128700405,1.821090864
0.833,1.129070103,1.822167662
0.834,1.129244486,1.823171708
0.835,1.129298271,1.824084422
0.836,1.130069328,1.824907728
0.837,1.130603689,1.825886137
0.838,1.131399375,1.826856847
0.839,1.132091942,1.827749879
0.84,1.132702195,1.828528189
0.841,1.13336059,1.829083646
0.842,1.13376293,1.829829071
0.843,1.13395267,1.830802433
0.844,1.134304884,1.831551694
0.845,1.134503243,1.832751446
0.846,1.134769602,1.833258023
0.847,1.134688887,1.833954761
0.848,1.134779747,1.834332669
0.849,1.134756631,1.834809731
0.85,1.134873174,1.835750644
0.851,1.134948738,1.836816256
0.852,1.135035267,1.837786195
0.853,1.135242951,1.838620249
0.854,1.135513996,1.839391158
