Pose/Time (ns),ZINC000100299612: PersScore 0.024 PoseScore 3.319 DockingScore -9.735,GTP: PersScore 0.214 PoseScore 1.633 DockingScore -15.753,ZINC000003932191: PersScore 0.452 PoseScore 1.419 DockingScore -13.397,ZINC000077301904 PersScore 0.536 PoseScore 2.553 DockingScore -13.363,ZINC000003830434 PersScore 0.313 PoseScore 1.972 DockingScore -9.597,ZINC000004215255 PersScore 0.445 PoseScore 2.772 DockingScore -13.930,ZINC000095615286 PersScore 0.229 PoseScore 2.699 DockingScore -12.759,ZINC000150374455 PersScore 0.209 PoseScore 3.062 DockingScore -13.887,ZINC000008655696 PersScore 0.042 PoseScore 3.214 DockingScore -14.072
0.126,0.916028635,0.512526316,0.712317244,0.826348623,0.697185829,0.688101329,0.735777306,0.776906718,0.622053198
0.127,0.937096365,0.51328489,0.713507975,0.829505695,0.697740101,0.68894831,0.736585824,0.778099228,0.62276557
0.128,0.938051118,0.513884356,0.714683021,0.830531393,0.69827727,0.690003787,0.737696328,0.77904197,0.640853631
0.129,0.939473538,0.516238081,0.715900265,0.831437065,0.702400363,0.690808952,0.738952895,0.77986017,0.642150034
0.13,0.940601252,0.518505756,0.717051336,0.83218399,0.702873005,0.691413539,0.740231197,0.789835204,0.643032245
0.131,0.941751365,0.521046679,0.718242603,0.836446876,0.703388493,0.691976078,0.740989321,0.790618127,0.643354624
0.132,0.94312341,0.525124708,0.719292129,0.83701788,0.704318616,0.692774762,0.741892805,0.79167917,0.643552474
0.133,0.94487974,0.525412367,0.720208333,0.837953101,0.705142358,0.693657608,0.74268908,0.792227405,0.644334093
0.134,0.946052019,0.525822448,0.721268965,0.838693778,0.706027738,0.694361933,0.743392333,0.792340027,0.644403893
0.135,0.94682703,0.528240938,0.724060725,0.83928233,0.706420949,0.695198214,0.744296741,0.793055246,0.645351551
0.136,0.948432905,0.528707594,0.738791431,0.839526746,0.707166941,0.695965063,0.745148482,0.79412797,0.646126663
0.137,0.949601149,0.537182858,0.740010038,0.840361543,0.708352923,0.696687341,0.746131928,0.794937462,0.647035895
0.138,0.95103075,0.537092436,0.740957528,0.841157321,0.70931726,0.697313841,0.746929887,0.795853576,0.64793801
0.139,0.951606822,0.537768049,0.742012298,0.841778417,0.710465772,0.698016133,0.747825317,0.796810993,0.649400286
0.14,0.952431999,0.538275151,0.742988398,0.842351603,0.711113348,0.698992794,0.748978736,0.797693172,0.650438722
0.141,0.957230504,0.538913444,0.743706596,0.84271457,0.712394537,0.699531806,0.749583171,0.802301454,0.653511226
0.142,0.958277296,0.539629411,0.744732431,0.843045015,0.713188547,0.700075539,0.750521628,0.803192273,0.654538954
0.143,0.958756655,0.540021627,0.745663345,0.843506959,0.713938642,0.705027533,0.751416634,0.803674056,0.655713246
0.144,0.959822485,0.540754166,0.74670588,0.844004512,0.714554543,0.705734821,0.752116054,0.813109775,0.66063981
0.145,0.961220191,0.540997024,0.751923003,0.844484317,0.715124401,0.706733573,0.75334007,0.813491517,0.66123987
0.146,0.962392264,0.541963676,0.7529388,0.845130973,0.715940044,0.707639611,0.754598311,0.814092918,0.661828976
0.147,0.963443197,0.542651153,0.754007765,0.845673394,0.716668484,0.708217426,0.756004446,0.814979954,0.662826742
0.148,0.969061538,0.543211755,0.754979579,0.846242805,0.717555625,0.709249925,0.757255428,0.815986526,0.663966455
0.149,0.970471836,0.54381388,0.762893722,0.846565563,0.718602784,0.709790173,0.757931103,0.816839434,0.664834357
0.15,0.976132686,0.544329964,0.764019018,0.847031381,0.719285077,0.71037592,0.758929644,0.817602222,0.665453442
0.151,0.977843872,0.545150699,0.765020125,0.847725386,0.719790152,0.710902345,0.759949133,0.818443028,0.666399776
0.152,0.979655128,0.546059121,0.766231347,0.848208323,0.72051027,0.711879783,0.76048156,0.819372514,0.666635416
0.153,0.991768112,0.546658574,0.76723653,0.848916944,0.721731811,0.712726306,0.7617698,0.82009832,0.667320392
0.154,0.998825538,0.547252077,0.768420778,0.849428164,0.722282798,0.71323854,0.762489539,0.820659353,0.667965983
0.155,1.019125628,0.547511996,0.769411189,0.850093988,0.723377335,0.713848862,0.763455459,0.821088585,0.66867766
0.156,1.024748714,0.547804392,0.774882559,0.851115971,0.724507215,0.714243922,0.769398492,0.820882129,0.669086203
0.157,1.02647703,0.548124096,0.775918522,0.85212786,0.725738814,0.714601458,0.769865096,0.820984621,0.669918453
0.158,1.027161477,0.548792795,0.777109858,0.852934427,0.726831085,0.714970946,0.770803516,0.821192013,0.670076492
0.159,1.028524463,0.549513977,0.777970937,0.853398499,0.7273452,0.715798983,0.772620235,0.821058497,0.670553815
0.16,1.029130177,0.55001216,0.778809958,0.854125479,0.727996634,0.71615469,0.77330629,0.821141701,0.67142314
0.161,1.029777331,0.550487853,0.779610287,0.855131004,0.728752036,0.717277626,0.774188601,0.82134026,0.67157093
0.162,1.031095362,0.550942434,0.780124848,0.856059784,0.729465461,0.718227499,0.77555265,0.821838344,0.672761222
0.163,1.032115497,0.551430283,0.782693914,0.856600645,0.729882123,0.718866716,0.776632754,0.822093774,0.674024432
0.164,1.033155878,0.554205296,0.793309949,0.857416859,0.730770776,0.719647756,0.783425568,0.822338046,0.675592048
0.165,1.035169117,0.555188236,0.794209895,0.858191045,0.732138745,0.720467413,0.784063485,0.822719991,0.67633818
0.166,1.03610046,0.556074802,0.795112494,0.858948314,0.733058331,0.72164823,0.784707691,0.822913839,0.676559793
