projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.961, -1.721
-0.967, -0.432
-1.133, -0.608
-1.348, -0.510
-1.612, -0.765
-1.263, -0.095
-1.375, 0.592
-0.998, 0.892
-0.925, 0.134
-0.964, -0.003
-0.839, -0.588
-0.917, -1.102
-0.785, -0.708
-1.014, -0.949
-1.233, -1.438
-1.176, -0.602
-1.235, -0.246
-1.212, -0.125
-1.627, -0.039
-1.494, 0.560
-1.265, 0.416
-1.500, -0.205
-1.282, 0.008
-1.347, 0.202
-1.458, -0.335
-1.451, -0.327
-1.385, -0.255
-1.406, -0.856
-1.516, -1.679
-1.474, -0.512
-1.257, 0.100
-0.970, -0.338
-1.102, 1.249
-1.304, 1.050
-0.826, 0.756
-0.668, 1.933
-1.114, 0.595
-1.164, 0.147
-0.900, 0.654
-1.238, 0.323
-1.303, 0.574
-1.220, 0.393
-0.526, 0.950
-0.191, -0.176
0.011, -0.670
-0.344, -0.973
-0.066, -0.648
-0.153, -1.113
-0.353, -0.783
-0.208, -0.802
-0.304, -1.194
-0.796, -0.712
-1.391, -1.215
-0.558, -0.557
-0.547, -0.739
-0.375, -0.494
-0.363, -0.574
-0.459, -0.897
-0.305, -1.133
0.137, -1.065
-0.264, -0.586
-0.239, -0.767
0.006, -0.235
0.275, -0.267
-0.143, -1.267
-0.382, -0.884
-0.915, -1.189
-0.974, -1.092
-1.344, -0.648
-0.964, -1.260
-1.482, -0.916
-1.389, -0.945
-1.356, -1.059
-1.387, -1.034
-1.522, -0.501
-1.356, -1.165
-1.730, -1.184
-1.435, -1.514
-1.614, -0.869
-1.052, -0.542
-1.349, -0.584
-1.614, -0.592
-1.383, -1.006
-1.443, -1.230
-1.461, -1.068
-1.408, -0.999
-1.590, -0.475
-1.821, -1.067
-1.200, -0.968
-1.411, -0.708
-1.614, -0.453
-1.872, -1.423
-1.690, -1.501
-2.038, -2.096
-2.141, -1.373
-1.747, -1.629
-1.977, -0.755
-1.599, -0.508
-1.887, -0.847
-1.714, -0.711
-1.699, -0.505
-1.123, -0.913
-1.370, -1.104
-1.058, 0.261
-1.809, -0.709
-1.436, -0.476
-1.826, -0.352
-1.945, -0.621
-1.767, -0.104
-1.913, -0.392
-1.725, -0.382
-1.173, 0.125
-1.217, -0.104
-1.511, -0.226
-1.471, 0.035
-1.307, -0.437
-0.826, -0.389
-1.622, -0.616
-1.350, -0.541
-1.877, -0.666
-1.820, -0.771
-1.685, -0.608
-1.083, -0.964
-1.252, -0.657
-1.527, -0.495
-1.469, -0.512
-1.704, -1.040
-1.406, -1.151
-1.516, -0.559
-1.658, -1.078
-1.817, -0.702
-1.456, -1.380
-1.384, -0.654
-1.077, -1.161
-0.957, -1.166
-1.315, -2.093
-1.531, -1.712
-1.586, -0.742
-1.512, -0.625
-1.513, -0.219
-1.089, 0.478
-1.519, -0.134
-1.165, 0.635
-1.458, -0.257
-0.760, 0.577
-1.072, -0.118
-1.228, -0.399
-1.163, -0.423
-1.019, -0.990
-0.848, -0.758
-1.436, -1.408
-1.664, -0.740
-1.042, -0.515
-1.811, -1.057
-1.615, -1.415
-1.688, -1.597
-2.061, -0.953
-1.656, -0.420
-1.581, -0.728
-2.092, -0.295
-1.437, -0.742
-2.074, -0.301
-1.803, -0.768
-1.649, -0.809
-1.506, -0.591
-1.336, -0.555
-1.365, -0.631
-1.264, -0.653
-0.956, -0.947
-0.892, -0.552
-0.611, -1.121
-0.603, -0.185
-0.392, -0.908
-1.039, -0.730
-1.232, -1.429
-1.227, -1.305
-1.153, -0.509
-1.179, -0.709
-1.029, -1.160
-1.116, -1.239
-0.934, -1.271
-0.472, -0.655
-0.935, -1.112
-1.271, -0.408
-0.853, -0.991
-0.592, -0.363
-0.772, -0.375
-0.796, -0.852
-0.689, -1.016
-0.903, -0.591
-0.449, -0.838
-0.619, -0.755
-0.685, -0.928
-0.800, -0.520
-0.464, -0.699
-0.802, -1.515
-1.137, -1.194
-1.794, -0.684
-1.171, -0.655
-1.512, -0.696
-1.763, -0.985
-1.426, -0.428
-1.442, -0.035
-1.382, -0.554
-1.067, -0.261
-1.236, 0.019
-1.013, -0.068
-1.588, -0.237
-1.662, -1.128
-1.506, -0.574
-1.618, -1.059
-1.269, -1.160
-1.075, -0.545
-1.285, -0.575
-1.396, -0.597
-1.539, -0.989
-1.694, -1.541
-1.800, -1.587
-1.601, -1.353
-1.214, -0.559
-1.432, -1.791
-1.493, -0.710
-1.318, -0.825
-1.839, -0.575
-1.475, -0.987
-1.771, -1.246
-1.834, -0.927
-1.813, -1.060
-1.341, -0.655
-1.579, -0.843
-1.637, -0.243
-1.631, -0.206
-1.693, -0.322
-1.490, -0.010
-1.724, -0.086
-1.729, -0.154
-1.705, -0.653
-1.716, -0.222
-1.705, -0.168
-1.541, -0.069
-1.488, 0.831
-1.499, 0.452
-1.621, -0.508
-1.251, 0.272
-1.427, -0.301
-1.524, -0.815
-1.294, -1.111
-1.047, -1.148
-0.880, -0.893
-0.673, -0.646
-0.791, -0.705
-0.741, -0.928
-0.441, -0.566
-0.717, 0.167
-0.650, -0.445
-0.838, -0.219
-0.255, 0.765
-0.832, 0.024
-0.317, -0.438
-0.489, -0.132
-0.540, -0.115
-0.418, -0.063
-0.434, 0.098
-0.438, 0.497
-0.309, -0.052
-0.715, 0.605
-1.016, 0.256
-0.931, 0.792
-1.259, 0.267
-1.452, 0.286
-0.811, -0.253
-0.860, 0.658
-0.819, -0.135
-0.869, 0.533
-1.326, -0.459
-1.708, -1.372
-1.156, -0.576
-1.439, -0.685
-0.830, -0.543
-0.974, -0.429
-0.734, -0.177
-0.975, -0.654
-0.485, -0.361
