projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.614, -1.610
-1.043, -1.639
-1.022, -1.538
-1.587, -1.993
-1.191, -1.869
-0.883, -1.971
-1.447, -1.463
-1.296, -1.594
-1.590, -1.663
-0.813, -1.852
-1.151, -1.709
-1.402, -1.349
-1.150, -1.608
-0.888, -1.790
-1.410, -1.756
-1.553, -1.645
-1.986, -0.931
-2.138, -1.042
-1.125, -1.398
-1.548, -1.158
-1.690, -1.274
-1.895, -1.197
-1.128, -1.481
-1.328, -1.208
-1.434, -1.346
-1.177, -1.546
-1.236, -1.181
-1.200, -0.970
-1.589, -1.289
-2.137, -1.014
-1.933, -1.245
-1.398, -1.430
-1.907, -0.836
-1.313, -1.379
-1.213, -1.135
-1.473, -0.602
-1.467, -0.744
-0.998, -0.924
-1.485, -0.811
-1.297, -0.963
-1.537, -0.905
-1.203, -1.296
-1.362, -1.466
-1.524, -1.582
-0.601, -1.743
-0.728, -1.662
-0.583, -1.910
-1.053, -1.426
-1.447, -1.107
-1.585, -1.453
-1.502, -1.508
-0.971, -1.462
-1.586, -0.889
-0.583, -1.201
-1.342, -1.133
-0.885, -1.313
-0.737, -1.496
-0.821, -1.207
-1.354, -1.075
-1.370, -1.177
-0.940, -1.352
-1.283, -0.999
-1.330, -1.189
-1.523, -0.994
-1.683, -0.985
-1.901, -0.800
-1.328, -1.295
-1.508, -0.927
-1.218, -1.114
-0.810, -1.421
-0.984, -1.038
-1.342, -0.971
-1.439, -0.935
-1.654, -0.793
-1.332, -1.408
-1.152, -1.115
-1.354, -0.959
-1.212, -1.741
-1.276, -1.530
-1.199, -1.416
-1.003, -1.914
-0.916, -1.838
-0.764, -1.946
-0.805, -1.852
-1.710, -1.206
-1.369, -1.505
-1.315, -1.519
-1.043, -1.522
-0.501, -2.124
-0.395, -2.352
-1.348, -1.877
-1.413, -1.769
-0.542, -2.115
-1.106, -1.639
-0.600, -1.915
-0.561, -2.337
-0.297, -2.527
-0.996, -1.891
-0.414, -2.359
-0.665, -2.286
-0.825, -1.969
-0.246, -2.524
-0.929, -2.116
-0.588, -2.269
-0.329, -2.032
-0.400, -1.940
-0.360, -2.051
-0.491, -1.996
-0.369, -2.083
-1.129, -1.627
-0.389, -2.100
-0.358, -2.303
-0.663, -1.944
-1.196, -1.787
-1.286, -1.645
-1.099, -1.593
-1.189, -1.810
-1.086, -1.320
-1.368, -1.350
-0.831, -1.639
-0.713, -2.114
-0.660, -2.352
-0.789, -1.997
-0.707, -2.108
-0.964, -1.638
-0.257, -2.148
-0.280, -2.236
-1.179, -1.783
-0.608, -1.986
-1.689, -1.287
-1.469, -1.714
-1.413, -1.519
-1.027, -2.080
-1.411, -1.730
-0.647, -2.073
-0.825, -2.231
-0.825, -2.179
-1.106, -2.202
-1.420, -1.523
-1.080, -1.311
-1.395, -1.906
-0.277, -2.197
-0.491, -1.925
-0.653, -2.598
-0.641, -2.426
-0.392, -2.646
-0.312, -2.280
-0.692, -2.264
0.176, -2.505
-0.909, -1.955
-0.716, -2.246
-1.724, -1.743
-0.988, -1.727
-0.428, -1.536
-0.483, -2.192
0.451, -2.045
0.162, -2.242
-0.402, -1.710
0.411, -2.194
-0.057, -2.105
-1.214, -1.495
-0.619, -1.434
-0.900, -2.313
-1.324, -1.743
-1.358, -1.536
-0.517, -2.214
-0.742, -1.515
-1.125, -1.613
-1.244, -2.048
-0.460, -2.581
-0.992, -1.782
-1.150, -1.852
-0.791, -2.202
-1.045, -2.033
-0.704, -1.748
-1.022, -1.706
-1.100, -1.702
-0.466, -2.170
-0.418, -2.261
-0.645, -2.244
-0.738, -1.974
-0.621, -1.750
-0.056, -2.451
-1.345, -1.697
-1.375, -2.184
-1.017, -2.127
-0.108, -2.818
-0.325, -2.273
-1.015, -1.894
-1.236, -2.353
-0.756, -2.347
-0.965, -2.421
-1.358, -1.696
-1.314, -1.429
-1.281, -1.577
-1.002, -1.787
-1.005, -1.752
-2.156, -1.106
-1.258, -1.505
-0.945, -1.868
-0.114, -2.511
-0.126, -2.173
-0.467, -1.988
-0.649, -2.247
-0.744, -2.010
-0.554, -2.252
-1.785, -1.599
-1.464, -1.853
-0.900, -2.324
-0.656, -2.219
-0.517, -2.720
-0.608, -2.502
-0.450, -2.704
-0.330, -2.407
0.225, -2.307
0.388, -2.726
0.205, -2.691
-0.271, -2.345
-0.682, -2.028
-0.821, -1.885
-0.344, -2.011
-0.032, -2.409
-0.406, -1.654
-0.026, -1.972
0.110, -2.193
-0.339, -2.240
-0.192, -2.677
-0.674, -2.240
-0.408, -2.249
-0.270, -2.201
-0.084, -2.511
0.140, -2.566
-0.010, -2.330
-0.588, -2.516
-1.287, -2.068
-1.366, -2.122
-1.371, -1.997
-1.252, -2.124
-0.983, -1.898
-0.965, -1.924
-0.275, -2.539
-0.406, -2.341
-1.306, -2.064
-1.412, -1.535
-1.354, -1.961
-1.338, -2.277
-1.255, -2.292
0.008, -2.724
0.408, -2.585
-0.334, -2.212
-0.191, -2.518
-0.042, -2.966
-0.566, -2.682
-0.593, -2.472
-0.321, -2.617
-0.011, -2.524
-0.696, -2.396
0.224, -2.412
0.236, -2.641
-0.364, -2.455
0.260, -2.572
0.564, -2.396
-0.039, -2.615
0.150, -2.085
-0.077, -2.424
0.322, -2.415
0.403, -2.624
0.617, -2.360
-0.138, -2.058
-0.153, -2.152
-0.468, -2.415
-1.144, -1.571
-0.931, -1.696
-0.891, -1.676
-0.418, -2.072
-0.856, -2.214
-1.280, -1.623
-0.780, -1.685
-1.153, -1.938
-1.159, -2.223
-0.663, -1.985
-1.080, -1.869
-1.153, -1.641
-1.805, -1.409
-2.017, -1.213
-1.683, -1.380
-0.636, -2.199
-1.457, -1.525
-0.924, -1.993
-1.278, -2.138
-1.820, -1.478
-1.129, -1.911
-0.668, -1.819
-0.505, -2.279
0.108, -2.403
-0.234, -2.189
0.125, -2.087
-0.362, -2.232
-0.636, -2.178
-1.083, -1.886
-0.612, -1.854
-0.538, -1.735
-0.276, -2.016
-0.526, -1.973
-0.695, -2.161
-1.015, -1.778
-0.837, -2.057
-0.184, -2.194
-0.336, -2.624
-0.147, -2.391
-0.869, -1.864
-1.262, -2.032
-0.567, -2.134
-1.014, -2.245
-0.896, -2.084
-0.882, -2.225
-0.832, -2.368
-0.579, -2.287
-0.266, -2.680
-0.388, -2.712
-1.496, -2.226
-1.402, -2.291
-0.835, -1.988
-1.194, -2.080
-0.846, -2.117
-0.783, -2.314
-1.140, -1.888
-1.344, -1.800
-1.265, -1.818
-1.515, -1.434
-1.576, -1.364
-1.768, -1.237
-1.761, -1.155
-1.498, -1.719
-1.663, -1.625
-1.057, -2.029
-0.731, -2.068
-1.413, -2.041
-0.954, -2.016
-1.503, -1.855
-1.473, -0.939
-1.741, -1.359
-1.829, -1.576
-1.790, -1.112
-1.923, -1.468
-1.331, -1.484
-1.052, -1.896
-1.112, -1.649
-1.394, -1.637
-1.674, -1.748
-1.056, -2.150
-1.094, -1.894
-1.291, -1.957
-1.618, -1.966
-1.705, -1.580
-1.249, -1.755
-1.412, -1.777
-1.696, -1.746
-1.468, -1.653
-1.195, -1.734
-0.750, -1.766
-1.165, -1.805
-1.724, -1.417
-1.729, -1.846
-0.880, -2.164
-1.598, -1.733
-1.618, -1.493
-1.148, -1.537
-1.619, -1.661
-2.020, -1.249
-2.164, -1.095
-1.905, -1.211
-1.801, -0.545
