Time (ps), RMSD (nm)
81.700, 0.116
81.800, 0.111
81.900, 0.113
82.000, 0.110
82.100, 0.113
82.200, 0.127
82.300, 0.132
82.400, 0.135
82.500, 0.112
82.600, 0.120
82.700, 0.122
82.800, 0.110
82.900, 0.113
83.000, 0.125
83.100, 0.122
83.200, 0.114
83.300, 0.113
83.400, 0.102
83.500, 0.126
83.600, 0.116
83.700, 0.121
83.800, 0.113
83.900, 0.116
84.000, 0.118
84.100, 0.119
84.200, 0.118
84.300, 0.118
84.400, 0.115
84.500, 0.121
84.600, 0.126
84.700, 0.116
84.800, 0.120
84.900, 0.124
85.000, 0.117
85.100, 0.129
85.200, 0.116
85.300, 0.112
85.400, 0.123
85.500, 0.122
85.600, 0.122
85.700, 0.124
85.800, 0.117
85.900, 0.109
86.000, 0.120
86.100, 0.115
86.200, 0.117
86.300, 0.119
86.400, 0.113
86.500, 0.109
86.600, 0.111
86.700, 0.114
86.800, 0.118
86.900, 0.115
87.000, 0.112
87.100, 0.119
87.200, 0.109
87.300, 0.107
87.400, 0.123
87.500, 0.119
87.600, 0.114
87.700, 0.106
87.800, 0.107
87.900, 0.112
88.000, 0.115
88.100, 0.105
88.200, 0.114
88.300, 0.110
88.400, 0.110
88.500, 0.107
88.600, 0.108
88.700, 0.111
88.800, 0.106
88.900, 0.106
89.000, 0.112
89.100, 0.119
89.200, 0.121
89.300, 0.118
89.400, 0.126
89.500, 0.122
89.600, 0.121
89.700, 0.123
89.800, 0.118
89.900, 0.122
90.000, 0.121
90.100, 0.117
90.200, 0.122
90.300, 0.116
90.400, 0.131
90.500, 0.119
90.600, 0.126
90.700, 0.120
90.800, 0.119
90.900, 0.114
91.000, 0.119
91.100, 0.111
91.200, 0.122
91.300, 0.122
91.400, 0.125
91.500, 0.119
91.600, 0.127
91.700, 0.118
91.800, 0.117
91.900, 0.122
92.000, 0.125
92.100, 0.128
92.200, 0.118
92.300, 0.119
92.400, 0.122
92.500, 0.128
92.600, 0.124
92.700, 0.124
92.800, 0.117
92.900, 0.119
93.000, 0.106
93.100, 0.111
93.200, 0.114
93.300, 0.120
93.400, 0.120
93.500, 0.118
93.600, 0.114
93.700, 0.116
93.800, 0.121
93.900, 0.110
94.000, 0.118
94.100, 0.111
94.200, 0.118
94.300, 0.115
94.400, 0.133
94.500, 0.118
94.600, 0.120
94.700, 0.117
94.800, 0.117
94.900, 0.118
95.000, 0.119
95.100, 0.119
95.200, 0.118
95.300, 0.120
95.400, 0.118
95.500, 0.135
95.600, 0.123
95.700, 0.119
95.800, 0.118
95.900, 0.120
96.000, 0.120
96.100, 0.116
96.200, 0.120
96.300, 0.113
96.400, 0.117
96.500, 0.125
96.600, 0.119
96.700, 0.130
96.800, 0.124
96.900, 0.121
97.000, 0.140
97.100, 0.119
97.200, 0.116
97.300, 0.133
97.400, 0.123
97.500, 0.126
97.600, 0.121
97.700, 0.117
97.800, 0.121
97.900, 0.126
98.000, 0.126
98.100, 0.117
98.200, 0.127
98.300, 0.119
98.400, 0.115
98.500, 0.120
98.600, 0.119
98.700, 0.116
98.800, 0.115
98.900, 0.122
99.000, 0.119
99.100, 0.111
99.200, 0.112
99.300, 0.125
99.400, 0.121
99.500, 0.121
99.600, 0.118
99.700, 0.119
99.800, 0.124
99.900, 0.118
100.000, 0.120
100.100, 0.119
100.200, 0.120
100.300, 0.117
100.400, 0.110
100.500, 0.120
100.600, 0.111
100.700, 0.107
100.800, 0.111
100.900, 0.109
101.000, 0.111
101.100, 0.107
101.200, 0.113
101.300, 0.111
101.400, 0.115
101.500, 0.113
101.600, 0.112
101.700, 0.112
101.800, 0.120
101.900, 0.118
102.000, 0.122
102.100, 0.124
102.200, 0.119
102.300, 0.114
102.400, 0.121
102.500, 0.122
102.600, 0.112
102.700, 0.112
102.800, 0.126
102.900, 0.116
103.000, 0.121
103.100, 0.121
103.200, 0.128
103.300, 0.114
103.400, 0.125
103.500, 0.118
103.600, 0.131
103.700, 0.118
103.800, 0.119
103.900, 0.123
104.000, 0.116
104.100, 0.125
104.200, 0.117
104.300, 0.116
104.400, 0.111
104.500, 0.116
104.600, 0.125
104.700, 0.119
104.800, 0.123
104.900, 0.126
105.000, 0.119
105.100, 0.126
105.200, 0.122
105.300, 0.121
105.400, 0.125
105.500, 0.119
105.600, 0.125
105.700, 0.127
105.800, 0.127
105.900, 0.125
106.000, 0.130
106.100, 0.139
106.200, 0.125
106.300, 0.118
106.400, 0.134
106.500, 0.126
106.600, 0.118
106.700, 0.117
106.800, 0.114
106.900, 0.117
107.000, 0.119
107.100, 0.124
107.200, 0.126
107.300, 0.122
107.400, 0.122
107.500, 0.123
107.600, 0.126
107.700, 0.131
107.800, 0.117
107.900, 0.119
108.000, 0.137
108.100, 0.129
108.200, 0.120
108.300, 0.117
108.400, 0.121
108.500, 0.118
108.600, 0.118
108.700, 0.120
108.800, 0.131
108.900, 0.130
109.000, 0.131
109.100, 0.128
109.200, 0.129
109.300, 0.125
109.400, 0.126
109.500, 0.123
109.600, 0.127
109.700, 0.129
109.800, 0.122
109.900, 0.132
110.000, 0.124
110.100, 0.119
110.200, 0.118
110.300, 0.127
110.400, 0.126
110.500, 0.116
110.600, 0.123
110.700, 0.128
110.800, 0.121
110.900, 0.119
111.000, 0.125
111.100, 0.117
111.200, 0.127
111.300, 0.123
111.400, 0.124
111.500, 0.129
111.600, 0.124
111.700, 0.123
111.800, 0.121
111.900, 0.129
112.000, 0.123
112.100, 0.125
112.200, 0.131
112.300, 0.127
112.400, 0.128
112.500, 0.125
112.600, 0.131
112.700, 0.117
112.800, 0.119
112.900, 0.128
113.000, 0.126
113.100, 0.128
113.200, 0.133
113.300, 0.135
113.400, 0.133
113.500, 0.129
113.600, 0.126
113.700, 0.120
113.800, 0.131
113.900, 0.133
114.000, 0.123
114.100, 0.127
114.200, 0.121
114.300, 0.127
114.400, 0.126
114.500, 0.128
114.600, 0.140
114.700, 0.133
114.800, 0.127
114.900, 0.130
115.000, 0.131
115.100, 0.119
115.200, 0.118
115.300, 0.121
115.400, 0.123
115.500, 0.130
115.600, 0.131
115.700, 0.129
115.800, 0.139
115.900, 0.127
116.000, 0.129
116.100, 0.134
116.200, 0.132
116.300, 0.135
116.400, 0.145
116.500, 0.141
116.600, 0.137
116.700, 0.128
116.800, 0.140
116.900, 0.126
117.000, 0.128
117.100, 0.125
117.200, 0.126
117.300, 0.129
117.400, 0.128
117.500, 0.124
117.600, 0.126
117.700, 0.127
117.800, 0.123
117.900, 0.136
118.000, 0.128
118.100, 0.126
118.200, 0.126
118.300, 0.129
118.400, 0.133
118.500, 0.139
118.600, 0.126
118.700, 0.128
118.800, 0.134
118.900, 0.125
119.000, 0.120
119.100, 0.128
119.200, 0.124
119.300, 0.122
119.400, 0.118
119.500, 0.125
119.600, 0.134
119.700, 0.134
119.800, 0.131
119.900, 0.138
120.000, 0.141
120.100, 0.135
120.200, 0.126
120.300, 0.132
120.400, 0.133
120.500, 0.134
120.600, 0.128
120.700, 0.138
120.800, 0.134
120.900, 0.140
121.000, 0.130
121.100, 0.144
121.200, 0.141
121.300, 0.143
121.400, 0.141
121.500, 0.129
121.600, 0.128
121.700, 0.124
121.800, 0.124
121.900, 0.135
122.000, 0.121
122.100, 0.132
122.200, 0.132
122.300, 0.116
122.400, 0.127
122.500, 0.128
122.600, 0.121
122.700, 0.112
122.800, 0.122
122.900, 0.120
123.000, 0.125
123.100, 0.126
123.200, 0.121
123.300, 0.124
123.400, 0.114
123.500, 0.125
123.600, 0.115
123.700, 0.124
123.800, 0.129
123.900, 0.136
124.000, 0.129
124.100, 0.135
124.200, 0.131
124.300, 0.118
124.400, 0.117
124.500, 0.127
124.600, 0.121
124.700, 0.119
124.800, 0.125
124.900, 0.125
125.000, 0.124
125.100, 0.137
125.200, 0.123
125.300, 0.125
125.400, 0.132
125.500, 0.125
125.600, 0.122
125.700, 0.129
125.800, 0.125
125.900, 0.143
126.000, 0.131
126.100, 0.125
126.200, 0.131
126.300, 0.132
126.400, 0.125
126.500, 0.134
126.600, 0.116
126.700, 0.122
126.800, 0.123
126.900, 0.124
127.000, 0.116
127.100, 0.123
127.200, 0.125
127.300, 0.120
127.400, 0.125
127.500, 0.128
127.600, 0.130
127.700, 0.126
127.800, 0.122
127.900, 0.116
128.000, 0.121
128.100, 0.122
128.200, 0.126
128.300, 0.115
128.400, 0.119
128.500, 0.120
128.600, 0.116
128.700, 0.123
128.800, 0.117
128.900, 0.126
129.000, 0.125
129.100, 0.119
129.200, 0.114
129.300, 0.115
129.400, 0.120
129.500, 0.126
129.600, 0.114
129.700, 0.107
129.800, 0.114
129.900, 0.109
130.000, 0.121
130.100, 0.114
130.200, 0.114
130.300, 0.118
130.400, 0.120
130.500, 0.123
130.600, 0.121
130.700, 0.118
130.800, 0.117
130.900, 0.126
131.000, 0.130
131.100, 0.128
131.200, 0.116
131.300, 0.115
131.400, 0.119
131.500, 0.116
131.600, 0.113
131.700, 0.120
131.800, 0.132
131.900, 0.121
132.000, 0.108
132.100, 0.124
132.200, 0.118
132.300, 0.128
132.400, 0.118
132.500, 0.119
132.600, 0.118
132.700, 0.128
132.800, 0.119
132.900, 0.114
133.000, 0.119
133.100, 0.101
133.200, 0.119
133.300, 0.114
133.400, 0.110
133.500, 0.119
133.600, 0.121
133.700, 0.123
133.800, 0.121
133.900, 0.120
134.000, 0.120
134.100, 0.131
134.200, 0.130
134.300, 0.122
134.400, 0.119
134.500, 0.123
134.600, 0.119
134.700, 0.125
134.800, 0.138
134.900, 0.128
135.000, 0.125
135.100, 0.119
135.200, 0.114
135.300, 0.132
135.400, 0.134
135.500, 0.124
135.600, 0.129
135.700, 0.135
135.800, 0.119
135.900, 0.125
136.000, 0.121
136.100, 0.130
136.200, 0.129
136.300, 0.115
136.400, 0.125
136.500, 0.133
136.600, 0.124
136.700, 0.133
136.800, 0.122
136.900, 0.114
137.000, 0.124
137.100, 0.119
137.200, 0.129
137.300, 0.120
137.400, 0.134
137.500, 0.120
137.600, 0.114
137.700, 0.129
137.800, 0.125
137.900, 0.122
138.000, 0.126
138.100, 0.123
138.200, 0.125
138.300, 0.123
138.400, 0.132
138.500, 0.130
138.600, 0.134
138.700, 0.124
138.800, 0.122
138.900, 0.133
139.000, 0.134
139.100, 0.128
139.200, 0.122
139.300, 0.122
139.400, 0.117
139.500, 0.116
139.600, 0.126
139.700, 0.115
139.800, 0.117
139.900, 0.115
140.000, 0.117
140.100, 0.117
140.200, 0.110
140.300, 0.109
140.400, 0.116
140.500, 0.125
140.600, 0.117
140.700, 0.123
140.800, 0.119
140.900, 0.118
141.000, 0.123
141.100, 0.124
