Time (ps), RMSD (nm)
61.300, 0.096
61.400, 0.088
61.500, 0.095
61.600, 0.104
61.700, 0.099
61.800, 0.093
61.900, 0.101
62.000, 0.101
62.100, 0.107
62.200, 0.097
62.300, 0.094
62.400, 0.096
62.500, 0.091
62.600, 0.094
62.700, 0.087
62.800, 0.096
62.900, 0.099
63.000, 0.096
63.100, 0.106
63.200, 0.096
63.300, 0.092
63.400, 0.097
63.500, 0.096
63.600, 0.099
63.700, 0.100
63.800, 0.091
63.900, 0.111
64.000, 0.104
64.100, 0.099
64.200, 0.089
64.300, 0.090
64.400, 0.096
64.500, 0.093
64.600, 0.103
64.700, 0.086
64.800, 0.091
64.900, 0.103
65.000, 0.100
65.100, 0.095
65.200, 0.088
65.300, 0.098
65.400, 0.107
65.500, 0.103
65.600, 0.113
65.700, 0.106
65.800, 0.103
65.900, 0.106
66.000, 0.110
66.100, 0.122
66.200, 0.119
66.300, 0.109
66.400, 0.100
66.500, 0.100
66.600, 0.103
66.700, 0.104
66.800, 0.106
66.900, 0.095
67.000, 0.095
67.100, 0.112
67.200, 0.104
67.300, 0.103
67.400, 0.098
67.500, 0.096
67.600, 0.096
67.700, 0.099
67.800, 0.099
67.900, 0.094
68.000, 0.105
68.100, 0.103
68.200, 0.105
68.300, 0.094
68.400, 0.106
68.500, 0.113
68.600, 0.105
68.700, 0.091
68.800, 0.100
68.900, 0.107
69.000, 0.095
69.100, 0.096
69.200, 0.100
69.300, 0.097
69.400, 0.099
69.500, 0.095
69.600, 0.098
69.700, 0.106
69.800, 0.104
69.900, 0.107
70.000, 0.105
70.100, 0.102
70.200, 0.108
70.300, 0.100
70.400, 0.094
70.500, 0.109
70.600, 0.098
70.700, 0.101
70.800, 0.097
70.900, 0.087
71.000, 0.095
71.100, 0.092
71.200, 0.103
71.300, 0.089
71.400, 0.102
71.500, 0.100
71.600, 0.099
71.700, 0.106
71.800, 0.097
71.900, 0.100
72.000, 0.107
72.100, 0.099
72.200, 0.106
72.300, 0.097
72.400, 0.107
72.500, 0.107
72.600, 0.095
