projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.766, -1.054
0.524, -0.841
0.627, -1.080
0.512, -0.556
0.536, -0.468
0.724, -0.578
0.673, -1.034
0.553, -1.108
0.433, -0.744
0.420, -0.900
0.503, -0.897
0.462, -1.334
0.434, -1.120
0.468, -1.316
0.495, -1.081
0.490, -1.746
0.368, -1.739
0.561, -1.354
0.664, -1.253
0.482, -1.192
0.435, -0.597
0.888, -0.734
0.600, -0.181
0.539, -0.762
0.627, -0.540
1.021, -0.708
0.528, -0.824
0.621, -1.062
0.842, -1.104
0.721, -1.094
0.645, -1.500
0.847, -1.218
0.612, -1.108
0.644, -1.028
0.937, -1.277
0.625, -1.586
0.378, -1.149
0.724, -1.054
0.755, -1.039
0.627, -0.707
0.588, -1.023
0.674, -0.632
0.917, -1.114
0.438, -0.906
0.869, -0.698
0.961, -0.771
0.883, -0.642
0.795, -0.730
0.914, -1.071
0.997, -0.688
0.772, -0.844
0.761, -0.147
0.998, -0.590
0.928, -0.550
0.883, -1.017
0.694, -0.949
0.955, -0.335
0.825, -0.560
0.966, -0.788
1.106, -1.008
0.803, -0.959
0.919, -0.724
1.022, -0.974
0.978, -0.925
1.090, -1.065
1.161, -0.577
1.075, -0.714
1.101, -0.931
1.161, -0.990
1.092, -0.836
0.936, -0.880
0.913, -0.928
1.027, -1.126
1.185, -0.725
0.881, -0.771
0.575, -1.016
0.584, -1.076
0.523, -0.726
0.820, -0.603
0.696, -0.769
0.492, -0.718
0.757, -0.345
0.719, -0.375
0.871, -0.781
0.676, -0.760
0.577, -0.254
0.634, -0.148
0.655, -0.839
0.653, -1.099
1.075, -0.792
0.673, -1.162
0.430, -1.180
0.570, -0.718
0.545, -0.885
0.697, -0.790
0.834, -1.096
0.829, -1.524
0.872, -1.589
0.871, -1.315
1.017, -1.059
0.736, -1.479
0.639, -0.982
0.759, -1.230
1.094, -1.393
0.742, -1.219
0.626, -1.159
0.737, -1.293
0.873, -1.201
0.737, -0.985
0.913, -1.057
0.899, -0.814
0.801, -0.589
0.931, -0.635
0.552, -0.514
0.728, -0.535
0.601, -0.403
0.686, -1.005
0.665, -0.689
0.896, -0.783
0.958, -0.646
1.023, -0.075
1.268, -0.337
0.949, -0.855
1.221, -0.390
0.990, -0.841
0.751, -1.127
0.565, -1.224
0.921, -0.893
0.513, -0.463
0.746, -0.140
0.649, -0.390
0.751, -0.234
0.582, -0.059
0.782, 0.148
0.873, -0.052
0.735, 0.126
0.532, 0.696
0.322, 0.142
0.568, -0.383
0.969, -0.182
0.681, -0.451
0.764, -0.153
0.741, -0.307
0.664, -0.154
0.701, -0.245
0.580, 0.253
0.533, -0.359
0.605, -0.060
0.653, 0.030
0.560, 0.054
0.763, -0.463
0.809, 0.085
0.701, -0.331
0.759, 0.064
0.709, -0.492
0.601, -1.617
1.000, -0.864
0.882, -0.956
1.073, -0.711
0.470, -0.537
0.655, -0.587
0.801, -0.564
0.558, -0.519
0.769, -0.788
0.737, -0.396
0.742, -0.437
0.720, -0.602
0.713, -0.795
0.539, -0.864
