projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.170, 0.480
-0.089, 0.402
-0.072, 0.085
0.130, 0.454
0.042, 0.472
-0.002, 0.396
0.026, 0.638
0.064, 0.603
-0.231, 0.155
0.015, 0.327
0.142, 0.505
0.210, 0.404
0.016, 0.565
-0.034, 0.229
-0.127, 0.476
-0.263, 0.265
-0.330, 0.258
-0.347, 0.045
-0.473, 0.013
-0.437, 0.021
-0.214, -0.258
-0.182, 0.152
0.010, 0.593
-0.047, 0.336
-0.018, 0.468
0.032, 0.830
-0.143, 0.581
-0.014, 1.146
-0.057, 1.193
-0.003, 0.657
-0.140, 0.437
-0.273, 0.156
-0.544, 0.111
-0.377, 0.055
-0.643, 0.124
-0.646, 0.279
-0.158, 0.549
-0.323, 0.676
-0.445, 0.583
-0.419, 0.747
-0.110, 1.238
-0.270, 0.982
-0.446, 0.856
-0.248, 0.859
-0.401, 0.588
-0.402, 0.557
-0.196, 0.797
-0.225, 0.715
-0.228, 0.623
-0.191, 0.679
-0.459, 0.054
-0.343, 0.068
-0.188, 0.303
-0.095, 0.923
-0.216, 0.451
-0.322, 0.759
-0.188, 1.051
-0.513, 0.517
-0.265, 0.970
-0.179, 1.087
-0.368, 0.965
-0.378, 0.955
-0.278, 0.690
-0.118, 0.750
0.150, 0.954
-0.010, 0.973
-0.318, 0.508
0.026, 0.934
-0.442, 0.655
-0.424, 0.685
-0.246, 0.857
0.103, 0.811
-0.249, 0.546
-0.191, 0.897
-0.057, 0.503
-0.254, 0.653
-0.184, 0.705
-0.183, 0.313
0.053, 0.355
-0.136, 0.292
-0.213, 0.537
0.238, 0.861
0.386, 0.713
-0.193, 0.184
-0.364, 0.285
0.018, 0.394
-0.154, 0.308
-0.237, 0.704
-0.570, 0.469
-0.569, 0.192
-0.347, 0.413
-0.034, 0.674
-0.170, 0.251
0.130, 0.698
0.001, 0.773
-0.077, 0.900
-0.166, 0.621
-0.022, 0.976
-0.233, 0.524
-0.051, 0.877
-0.084, 0.478
-0.460, 0.208
-0.515, -0.052
-0.077, 0.301
0.026, 0.518
-0.228, 0.181
-0.496, 0.045
-0.344, 0.243
-0.614, -0.286
-0.401, 0.163
-0.139, 0.197
-0.457, -0.061
-0.106, 0.533
-0.169, 0.296
-0.449, 0.049
-0.584, 0.290
-0.272, 0.413
-0.339, 0.319
-0.361, 0.424
-0.202, 0.519
-0.241, 0.482
-0.445, 0.324
-0.198, 0.557
